Metric,statistic,n,Threshold,p_value,p_minus_alpha,NPVR,formula,df,df2,sigma_p,flip_probability,significance,possible_numerical_outcome,flip_direction,risk_type
avg_shortestPathLength,4.0,100,0.05,0.04821217873113365,-0.0017878212688663547,0.0351138182966801,ancova_p_value,,100.0,0.0038561042471844,0.31439011715223675,significant,non-significant,significant -> non-significant,false-positive risk
avg_shortestPathLength,2.0,100,0.5,0.04821217873113365,-0.0017878212688663547,0.0330051703414683,two_sample_t_p_value,100.0,,0.0036245382503679,0.30460033272706377,significant,non-significant,significant -> non-significant,false-positive risk
avg_shortestPathLength,4.0,100,0.5,0.04821217873113365,-0.0017878212688663547,0.0330051703414683,ancova_p_value,,100.0,0.0036245382503678,0.3046003327270599,significant,non-significant,significant -> non-significant,false-positive risk
avg_shortestPathLength,2.0,100,0.2,0.04821217873113365,-0.0017878212688663547,0.0315754464419614,two_sample_t_p_value,100.0,,0.00346752985115,0.2972699263745975,significant,non-significant,significant -> non-significant,false-positive risk
avg_shortestPathLength,4.0,100,0.2,0.04821217873113365,-0.0017878212688663547,0.0315754464419614,ancova_p_value,,100.0,0.0034675298511499,0.2972699263745917,significant,non-significant,significant -> non-significant,false-positive risk
avg_shortestPathLength,2.0,100,0.4,0.04821217873113365,-0.0017878212688663547,0.0309119068207723,two_sample_t_p_value,100.0,,0.0033946617304055,0.29365651758159994,significant,non-significant,significant -> non-significant,false-positive risk
avg_shortestPathLength,4.0,100,0.4,0.04821217873113365,-0.0017878212688663547,0.0309119068207723,ancova_p_value,,100.0,0.0033946617304054,0.2936565175815944,significant,non-significant,significant -> non-significant,false-positive risk
avg_shortestPathLength,2.0,100,0.1,0.04821217873113365,-0.0017878212688663547,0.030563543135895,two_sample_t_p_value,100.0,,0.0033564053757855,0.2917023453165598,significant,non-significant,significant -> non-significant,false-positive risk
avg_shortestPathLength,4.0,100,0.1,0.04821217873113365,-0.0017878212688663547,0.030563543135895,ancova_p_value,,100.0,0.0033564053757854,0.2917023453165545,significant,non-significant,significant -> non-significant,false-positive risk
avg_shortestPathLength,2.0,100,0.3,0.04821217873113365,-0.0017878212688663547,0.0244643192954368,two_sample_t_p_value,100.0,,0.0026866051633163,0.24973489057336917,significant,non-significant,significant -> non-significant,false-positive risk
avg_shortestPathLength,4.0,100,0.3,0.04821217873113365,-0.0017878212688663547,0.0244643192954368,ancova_p_value,,100.0,0.0026866051633163,0.24973489057336917,significant,non-significant,significant -> non-significant,false-positive risk
avg_shortestPathLength,4.0,300,0.05,0.0464015209831491,-0.0035984790168509043,0.0351138182966801,ancova_p_value,,300.0,0.0038135611069829,0.17179488428097967,significant,non-significant,significant -> non-significant,false-positive risk
avg_shortestPathLength,2.0,300,0.05,0.0464015209831491,-0.0035984790168509043,0.0351138182966801,two_sample_t_p_value,300.0,,0.0038135611069823,0.17179488428094258,significant,non-significant,significant -> non-significant,false-positive risk
avg_shortestPathLength,4.0,300,0.5,0.0464015209831491,-0.0035984790168509043,0.0330051703414683,ancova_p_value,,300.0,0.0035845499022665,0.15758813433783714,significant,non-significant,significant -> non-significant,false-positive risk
avg_shortestPathLength,2.0,300,0.5,0.0464015209831491,-0.0035984790168509043,0.0330051703414683,two_sample_t_p_value,300.0,,0.0035845499022659,0.15758813433779872,significant,non-significant,significant -> non-significant,false-positive risk
avg_shortestPathLength,4.0,500,0.05,0.046040682769031456,-0.003959317230968547,0.0351138182966801,ancova_p_value,,500.0,0.0038048512118885,0.14931490277561987,significant,non-significant,significant -> non-significant,false-positive risk
avg_shortestPathLength,2.0,500,0.05,0.046040682769031456,-0.003959317230968547,0.0351138182966801,two_sample_t_p_value,500.0,,0.0038048512118884,0.14931490277561432,significant,non-significant,significant -> non-significant,false-positive risk
avg_shortestPathLength,4.0,300,0.2,0.0464015209831491,-0.0035984790168509043,0.0315754464419614,ancova_p_value,,300.0,0.0034292737254971,0.1473746253350504,significant,non-significant,significant -> non-significant,false-positive risk
avg_shortestPathLength,2.0,300,0.2,0.0464015209831491,-0.0035984790168509043,0.0315754464419614,two_sample_t_p_value,300.0,,0.0034292737254966,0.14737462533501677,significant,non-significant,significant -> non-significant,false-positive risk
avg_shortestPathLength,4.0,300,0.4,0.0464015209831491,-0.0035984790168509043,0.0309119068207723,ancova_p_value,,300.0,0.0033572095349574,0.1424742121183733,significant,non-significant,significant -> non-significant,false-positive risk
avg_shortestPathLength,2.0,300,0.4,0.0464015209831491,-0.0035984790168509043,0.0309119068207723,two_sample_t_p_value,300.0,,0.0033572095349569,0.14247421211833822,significant,non-significant,significant -> non-significant,false-positive risk
avg_shortestPathLength,4.0,300,0.1,0.0464015209831491,-0.0035984790168509043,0.030563543135895,ancova_p_value,,300.0,0.0033193752502177,0.13986102176147974,significant,non-significant,significant -> non-significant,false-positive risk
avg_shortestPathLength,2.0,300,0.1,0.0464015209831491,-0.0035984790168509043,0.030563543135895,two_sample_t_p_value,300.0,,0.0033193752502172,0.1398610217614451,significant,non-significant,significant -> non-significant,false-positive risk
avg_shortestPathLength,4.0,500,0.5,0.046040682769031456,-0.003959317230968547,0.0330051703414683,ancova_p_value,,500.0,0.0035763630520409,0.1351044998931985,significant,non-significant,significant -> non-significant,false-positive risk
avg_shortestPathLength,2.0,500,0.5,0.046040682769031456,-0.003959317230968547,0.0330051703414683,two_sample_t_p_value,500.0,,0.0035763630520407,0.1351044998931863,significant,non-significant,significant -> non-significant,false-positive risk
avg_shortestPathLength,2.0,1000,0.05,0.04577034649325166,-0.0042296535067483446,0.0351138182966801,two_sample_t_p_value,1000.0,,0.0037982739454443,0.13382592803552318,significant,non-significant,significant -> non-significant,false-positive risk
avg_shortestPathLength,4.0,1000,0.05,0.04577034649325166,-0.0042296535067483446,0.0351138182966801,ancova_p_value,,1000.0,0.0037982739454432,0.133825928035457,significant,non-significant,significant -> non-significant,false-positive risk
avg_shortestPathLength,4.0,500,0.2,0.046040682769031456,-0.003959317230968547,0.0315754464419614,ancova_p_value,,500.0,0.0034214415147206,0.12499851727181832,significant,non-significant,significant -> non-significant,false-positive risk
avg_shortestPathLength,2.0,500,0.2,0.046040682769031456,-0.003959317230968547,0.0315754464419614,two_sample_t_p_value,500.0,,0.0034214415147205,0.12499851727181321,significant,non-significant,significant -> non-significant,false-positive risk
avg_shortestPathLength,4.0,500,0.4,0.046040682769031456,-0.003959317230968547,0.0309119068207723,ancova_p_value,,500.0,0.0033495419135298,0.12018474702805126,significant,non-significant,significant -> non-significant,false-positive risk
avg_shortestPathLength,2.0,500,0.4,0.046040682769031456,-0.003959317230968547,0.0309119068207723,two_sample_t_p_value,500.0,,0.0033495419135297,0.12018474702804505,significant,non-significant,significant -> non-significant,false-positive risk
avg_shortestPathLength,2.0,1000,0.5,0.04577034649325166,-0.0042296535067483446,0.0330051703414683,two_sample_t_p_value,1000.0,,0.0035701807622785,0.11977823965801693,significant,non-significant,significant -> non-significant,false-positive risk
avg_shortestPathLength,4.0,1000,0.5,0.04577034649325166,-0.0042296535067483446,0.0330051703414683,ancova_p_value,,1000.0,0.0035701807622775,0.11977823965795409,significant,non-significant,significant -> non-significant,false-positive risk
avg_shortestPathLength,4.0,500,0.1,0.046040682769031456,-0.003959317230968547,0.030563543135895,ancova_p_value,,500.0,0.0033117940395338,0.11762746601375429,significant,non-significant,significant -> non-significant,false-positive risk
avg_shortestPathLength,2.0,500,0.1,0.046040682769031456,-0.003959317230968547,0.030563543135895,two_sample_t_p_value,500.0,,0.0033117940395337,0.11762746601374663,significant,non-significant,significant -> non-significant,false-positive risk
avg_shortestPathLength,2.0,1000,0.2,0.04577034649325166,-0.0042296535067483446,0.0315754464419614,two_sample_t_p_value,1000.0,,0.0034155270304971,0.10987506379366274,significant,non-significant,significant -> non-significant,false-positive risk
avg_shortestPathLength,4.0,1000,0.2,0.04577034649325166,-0.0042296535067483446,0.0315754464419614,ancova_p_value,,1000.0,0.0034155270304961,0.1098750637935978,significant,non-significant,significant -> non-significant,false-positive risk
avg_shortestPathLength,2.0,1000,0.4,0.04577034649325166,-0.0042296535067483446,0.0309119068207723,two_sample_t_p_value,1000.0,,0.0033437517187483,0.10518548692295393,significant,non-significant,significant -> non-significant,false-positive risk
avg_shortestPathLength,4.0,1000,0.4,0.04577034649325166,-0.0042296535067483446,0.0309119068207723,ancova_p_value,,1000.0,0.0033437517187474,0.10518548692289498,significant,non-significant,significant -> non-significant,false-positive risk
avg_shortestPathLength,2.0,1000,0.1,0.04577034649325166,-0.0042296535067483446,0.030563543135895,two_sample_t_p_value,1000.0,,0.0033060690977178,0.10270180224218406,significant,non-significant,significant -> non-significant,false-positive risk
avg_shortestPathLength,4.0,1000,0.1,0.04577034649325166,-0.0042296535067483446,0.030563543135895,ancova_p_value,,1000.0,0.0033060690977169,0.10270180224212444,significant,non-significant,significant -> non-significant,false-positive risk
betweeness,4.0,50,0.5,0.05094706873769324,0.0009470687376932352,0.1927742919041782,ancova_p_value,,50.0,0.0215036451816931,0.5361098603805673,non-significant,significant,non-significant -> significant,false-negative risk
betweeness,2.0,50,0.5,0.05094706873769324,0.0009470687376932352,0.1927742919041782,two_sample_t_p_value,50.0,,0.021503645181693,0.5361098603805665,non-significant,significant,non-significant -> significant,false-negative risk
betweeness,2.0,50,0.4,0.05094706873769324,0.0009470687376932352,0.1765933916024167,two_sample_t_p_value,50.0,,0.0196986932071715,0.5299199215670998,non-significant,significant,non-significant -> significant,false-negative risk
