Threshold,Metric,NPVR,n,formula,df,statistic,df2,p_value,sigma_p,p_minus_alpha,flip_probability,significance
0.05,avg_shortestPathLength,0.0369821457609369,500,two_sample_t_p_value,500.0,1.0,,0.3177942072606085,0.0178793109202756,0.2677942072606085,1.0253935483888123e-108,non-significant
0.05,avg_shortestPathLength,0.0369821457609369,500,two_sample_t_p_value,500.0,2.0,,0.046040682769031456,0.0040072988054973,-0.003959317230968547,0.1611983632881211,significant
0.05,avg_shortestPathLength,0.0369821457609369,500,two_sample_t_p_value,500.0,3.0,,0.002834491812851143,0.0003379843811172,-0.04716550818714886,0.0,significant
0.05,avg_shortestPathLength,0.0369821457609369,500,two_sample_t_p_value,500.0,4.0,,7.291606940371305e-05,1.1039536734099908e-05,-0.04992708393059629,0.0,significant
0.05,avg_shortestPathLength,0.0369821457609369,500,two_sample_t_p_value,500.0,5.0,,7.94641504790956e-07,1.451428355610287e-07,-0.04999920535849521,0.0,significant
0.05,avg_shortestPathLength,0.0369821457609369,500,two_sample_t_p_value,500.0,6.0,,3.790442338479296e-09,8.052324877149566e-10,-0.04999999620955766,0.0,significant
0.05,avg_shortestPathLength,0.0369821457609369,1000,two_sample_t_p_value,1000.0,0.5,,0.6171850808338747,0.0260309062655329,0.5671850808338746,3.943259276586812e-184,non-significant
0.05,avg_shortestPathLength,0.0369821457609369,1000,two_sample_t_p_value,1000.0,1.0,,0.31755241808467255,0.0178882483389461,0.26755241808467256,2.0704404950892737e-108,non-significant
0.05,avg_shortestPathLength,0.0369821457609369,1000,two_sample_t_p_value,1000.0,2.0,,0.04577034649325166,0.0040003715774673,-0.0042296535067483446,0.1456732661332819,significant
0.05,avg_shortestPathLength,0.0369821457609369,1000,two_sample_t_p_value,1000.0,3.0,,0.0027667090442381925,0.0003328855106947,-0.04723329095576181,0.0,significant
0.05,avg_shortestPathLength,0.0369821457609369,1000,two_sample_t_p_value,1000.0,4.0,,6.800991920878163e-05,1.04597851977161e-05,-0.04993199008079122,0.0,significant
0.05,avg_shortestPathLength,0.0369821457609369,1000,two_sample_t_p_value,1000.0,5.0,,6.767256364648635e-07,1.2662777191367316e-07,-0.04999932327436354,0.0,significant
0.05,avg_shortestPathLength,0.0369821457609369,1000,two_sample_t_p_value,1000.0,6.0,,2.7553691733774752e-09,6.057117682420645e-10,-0.04999999724463083,0.0,significant
0.1,avg_shortestPathLength,0.0315639250336682,30,two_sample_t_p_value,30.0,0.5,,0.6207230048851272,0.021960826820763,0.5707230048851272,1.1872622188877573e-259,non-significant
0.1,avg_shortestPathLength,0.0315639250336682,30,two_sample_t_p_value,30.0,1.0,,0.3253086154260302,0.0150240080311829,0.2753086154260302,5.402013496383323e-162,non-significant
0.1,avg_shortestPathLength,0.0315639250336682,30,two_sample_t_p_value,30.0,2.0,,0.054625044962983094,0.0035889618951664,0.004625044962983091,0.0961570647495726,non-significant
0.1,avg_shortestPathLength,0.0315639250336682,30,two_sample_t_p_value,30.0,3.0,,0.005389964065651945,0.0004279476566324,-0.044610035934348057,0.0,significant
0.1,avg_shortestPathLength,0.0315639250336682,30,two_sample_t_p_value,30.0,4.0,,0.0003818456360837564,3.312422076464839e-05,-0.04961815436391625,0.0,significant
0.1,avg_shortestPathLength,0.0315639250336682,30,two_sample_t_p_value,30.0,5.0,,2.32966854670078e-05,2.0762056776761926e-06,-0.049976703314532994,0.0,significant
0.1,avg_shortestPathLength,0.0315639250336682,30,two_sample_t_p_value,30.0,6.0,,1.3942768767204764e-06,1.230158468308718e-07,-0.049998605723123285,0.0,significant
0.1,avg_shortestPathLength,0.0315639250336682,50,two_sample_t_p_value,50.0,0.5,,0.6192685675117714,0.0220660786711036,0.5692685675117714,1.5829784010965585e-256,non-significant
0.1,avg_shortestPathLength,0.0315639250336682,50,two_sample_t_p_value,50.0,1.0,,0.32212564510024433,0.0151236060861134,0.27212564510024434,3.5854249940280105e-156,non-significant
0.1,avg_shortestPathLength,0.0315639250336682,50,two_sample_t_p_value,50.0,2.0,,0.05094706873769324,0.0035209022829814,0.0009470687376932352,0.4018003332340674,non-significant
0.1,avg_shortestPathLength,0.0315639250336682,50,two_sample_t_p_value,50.0,3.0,,0.004201703187068241,0.0003681023166614,-0.04579829681293176,0.0,significant
0.1,avg_shortestPathLength,0.0315639250336682,50,two_sample_t_p_value,50.0,4.0,,0.00020919024636403336,2.110204239676362e-05,-0.04979080975363597,0.0,significant
0.1,avg_shortestPathLength,0.0315639250336682,50,two_sample_t_p_value,50.0,5.0,,7.4332122472325795e-06,8.102753574226398e-07,-0.04999256678775277,0.0,significant
0.1,avg_shortestPathLength,0.0315639250336682,50,two_sample_t_p_value,50.0,6.0,,2.1889394850799978e-07,2.471635024910011e-08,-0.049999781106051494,0.0,significant
0.1,avg_shortestPathLength,0.0315639250336682,75,two_sample_t_p_value,75.0,0.5,,0.6185389578679419,0.0221189397737381,0.5685389578679418,5.658352092031725e-255,non-significant
0.1,avg_shortestPathLength,0.0315639250336682,75,two_sample_t_p_value,75.0,1.0,,0.3205260061237414,0.015173821174668,0.2705260061237414,2.6193339397759337e-153,non-significant
0.1,avg_shortestPathLength,0.0315639250336682,75,two_sample_t_p_value,75.0,2.0,,0.04912138289485513,0.0034848332285652,-0.0008786171051448702,0.3924007224729087,significant
0.1,avg_shortestPathLength,0.0315639250336682,75,two_sample_t_p_value,75.0,3.0,,0.0036630774411349812,0.0003383752564023,-0.04633692255886502,0.0,significant
0.1,avg_shortestPathLength,0.0315639250336682,75,two_sample_t_p_value,75.0,4.0,,0.00014717180322168836,1.6159895945980423e-05,-0.04985282819677832,0.0,significant
0.1,avg_shortestPathLength,0.0315639250336682,75,two_sample_t_p_value,75.0,5.0,,3.657912410473166e-06,4.4875723990295686e-07,-0.04999634208758953,0.0,significant
