Metric,statistic,n,Threshold,p_value,p_minus_alpha,NPVR,formula,df,df2,sigma_p,flip_probability,significance,possible_numerical_outcome,flip_direction,risk_type
avg_shortestPathLength,4.0,100,0.05,0.04821217873113365,-0.0017878212688663547,0.0369821457609369,ancova_p_value,,100.0,0.0040612788997722,0.32217368318755313,significant,non-significant,significant -> non-significant,false-positive risk
avg_shortestPathLength,2.0,100,0.5,0.04821217873113365,-0.0017878212688663547,0.0334959924714658,two_sample_t_p_value,100.0,,0.003678439004883,0.3069825804371187,significant,non-significant,significant -> non-significant,false-positive risk
avg_shortestPathLength,4.0,100,0.5,0.04821217873113365,-0.0017878212688663547,0.0334959924714658,ancova_p_value,,100.0,0.0036784390048828,0.30698258043711024,significant,non-significant,significant -> non-significant,false-positive risk
avg_shortestPathLength,2.0,100,0.1,0.04821217873113365,-0.0017878212688663547,0.0315639250336682,two_sample_t_p_value,100.0,,0.0034662646013535,0.29720837036396497,significant,non-significant,significant -> non-significant,false-positive risk
avg_shortestPathLength,4.0,100,0.1,0.04821217873113365,-0.0017878212688663547,0.0315639250336682,ancova_p_value,,100.0,0.0034662646013534,0.2972083703639591,significant,non-significant,significant -> non-significant,false-positive risk
avg_shortestPathLength,2.0,100,0.2,0.04821217873113365,-0.0017878212688663547,0.0314671525049664,two_sample_t_p_value,100.0,,0.003455637304835,0.296689708588488,significant,non-significant,significant -> non-significant,false-positive risk
avg_shortestPathLength,4.0,100,0.2,0.04821217873113365,-0.0017878212688663547,0.0314671525049664,ancova_p_value,,100.0,0.0034556373048349,0.29668970858848276,significant,non-significant,significant -> non-significant,false-positive risk
avg_shortestPathLength,2.0,100,0.4,0.04821217873113365,-0.0017878212688663547,0.029665759311191,two_sample_t_p_value,100.0,,0.0032578131922114,0.28647563001622856,significant,non-significant,significant -> non-significant,false-positive risk
avg_shortestPathLength,4.0,100,0.4,0.04821217873113365,-0.0017878212688663547,0.029665759311191,ancova_p_value,,100.0,0.0032578131922113,0.28647563001622345,significant,non-significant,significant -> non-significant,false-positive risk
avg_shortestPathLength,2.0,100,0.3,0.04821217873113365,-0.0017878212688663547,0.0247493378416399,two_sample_t_p_value,100.0,,0.0027179051266884,0.25208187743175925,significant,non-significant,significant -> non-significant,false-positive risk
avg_shortestPathLength,4.0,100,0.3,0.04821217873113365,-0.0017878212688663547,0.0247493378416399,ancova_p_value,,100.0,0.0027179051266883,0.25208187743175037,significant,non-significant,significant -> non-significant,false-positive risk
avg_shortestPathLength,4.0,300,0.05,0.0464015209831491,-0.0035984790168509043,0.0369821457609369,ancova_p_value,,300.0,0.0040164721345617,0.1835510747262996,significant,non-significant,significant -> non-significant,false-positive risk
avg_shortestPathLength,2.0,300,0.05,0.0464015209831491,-0.0035984790168509043,0.0369821457609369,two_sample_t_p_value,300.0,,0.0040164721345611,0.18355107472626597,significant,non-significant,significant -> non-significant,false-positive risk
avg_shortestPathLength,4.0,500,0.05,0.046040682769031456,-0.003959317230968547,0.0369821457609369,ancova_p_value,,500.0,0.0040072988054974,0.16119836328812664,significant,non-significant,significant -> non-significant,false-positive risk
